,Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Type,Amount,Month,Year
0,1,2020-09-01,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1640.0,9,2020
1,2,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,65.9968308,1,2020
2,3,2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,150.542652,9,2020
3,4,2020-02-01,Wealth Bucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,24.6,2,2020
4,5,2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.76,2,2020
5,6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,73.8,1,2020
6,7,2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1230.0,10,2020
7,8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.2,12,2019
8,9,2019-06-12,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,574.0,6,2019
9,10,2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,410.0,3,2019
10,11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,164.0,12,2019
11,12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,98.4,12,2019
12,13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,246.0,12,2019
13,15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,16.4,12,2019
14,16,2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group,Seed Round,410.0,11,2019
15,17,2019-12-20,Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1894.2,12,2019
16,18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1230.0,11,2019
17,19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,3.9852,11,2019
18,20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.3,11,2019
19,21,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,11,2019
20,22,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,98.4,11,2019
21,23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,213.2,11,2019
22,24,2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,142.772373,11,2019
23,25,2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.66,12,2019
24,26,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1107.0,11,2019
25,27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.46,11,2019
26,28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,1804.0,11,2019
27,29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,129.56,11,2019
28,30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2320.6,11,2019
29,32,2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8200.0,11,2019
30,33,2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,369.0,4,2019
31,34,2019-02-10,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4797.0,2,2019
32,35,2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,10,2019
33,36,2019-05-09,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,36.9,5,2019
34,37,2019-04-09,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.06,4,2019
35,38,2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,49.2,4,2019
